Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-03 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,252.56,289.22,66.64,66.64,eia.gov,false,
2023-01-03 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,224.65,259.56,70.61,70.61,eia.gov,false,
2023-01-04 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,159.77,191.59,79.11,79.11,eia.gov,false,
2023-01-04 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,250.95,287.37,67.15,67.15,eia.gov,false,
2023-01-04 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,279.15,316.97,63.5,63.49,eia.gov,false,
2023-01-04 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,297.39,336.61,60.87,60.83,eia.gov,false,
2023-01-04 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,254.47,292.88,65.49,65.38,eia.gov,false,
2023-01-04 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,210.9,247.81,70.81,70.77,eia.gov,false,
2023-01-04 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,178.92,213.17,75.67,75.58,eia.gov,false,
2023-01-04 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,113.06,143.37,84.66,84.59,eia.gov,false,
2023-01-04 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,28.85,54.34,96.01,95.41,eia.gov,false,
2023-01-04 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,91.66,120.59,87.37,85.61,eia.gov,false,
2023-01-04 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,119.4,149.93,83.72,82.14,eia.gov,false,
2023-01-04 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,129.87,161.44,82.25,81.52,eia.gov,false,
2023-01-04 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,0.0,24.0,100.0,100.0,eia.gov,false,
